lon,lat,sedimentation_rate
-66.5,60.5,1.84942467603832
-161.5,-7.5,0.118272968393285
28.5,-70.5,2.22048605792224
94.5,-37.5,0.299460720270872
171.5,-66.5,0.911196286324412
-33.5,-57.5,0.383128848625347
-119.5,74.5,2.04544118605554
84.5,-23.5,0.186529374332167
168.5,79.5,1.69596157502383
-86.5,25.5,1.98423583060503
57.5,-41.5,0.176137662492692
-87.5,-13.5,0.225859039346688
-5.5,71.5,1.46219809539616
74.5,-13.5,0.214159634197131
73.5,-53.5,0.292800745228305
-103.5,69.5,1.96974747814238
175.5,-30.5,0.516899512149394
-121.5,36.5,1.31842598784715
-1.5,-62.5,0.385790131986141
60.5,-45.5,0.189093247172423
175.5,74.5,1.2287434656173
65.5,-7.5,0.290967174805701
91.5,75.5,2.39687832072377
-167.5,-52.5,0.18885922327172
-29.5,23.5,0.24039471463766
-11.5,72.5,1.41135230660439
-0.5,59.5,1.87964714132249
-179.5,47.5,0.122311234008521
166.5,-38.5,1.24349456746131
-35.5,-36.5,0.274135003564879
-92.5,-25.5,0.196884109755047
171.5,26.5,0.110032393422443
-40.5,-74.5,1.53331342153251
111.5,-40.5,0.794416584540159
169.5,18.5,0.0942085753194988
169.5,-48.5,1.79231981746852
-90.5,-8.5,0.20799448247999
148.5,30.5,0.119671080028638
-165.5,21.5,0.105544029793236
-136.5,39.5,0.152790409629233
-176.5,-39.5,1.00496341474354
7.5,40.5,1.94050627760589
159.5,-62.5,0.676984142046422
174.5,-62.5,0.424918922362849
125.5,-63.5,1.92111229989678
27.5,80.5,0.86334504885599
116.5,9.5,1.32407632190734
-36.5,-34.5,0.425600592279807
55.5,12.5,0.880778185091913
60.5,68.5,2.37266160547733
0.5,69.5,1.3498862972483
13.5,-35.5,0.984775950200856
-141.5,39.5,0.131783963297494
166.5,-40.5,1.38341728597879
-165.5,-1.5,0.115916169306729
-13.5,-66.5,0.684564234688878
154.5,-14.5,1.01400993298739
-130.5,-15.5,0.150461739394814
-150.5,72.5,1.88289710786194
-83.5,-51.5,0.238114706007764
-17.5,66.5,0.96103607211262
16.5,40.5,1.66616053320467
-103.5,-30.5,0.248115276917815
